council_id,council_name,waddress,dwebsite,certified,region_id,service_re,centroid,latitude,longitude
15,Reseda,http://www.resedacouncil.org/,http://empowerla.org/RNC,2002-10-08T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.5403631040436 34.20372549601867),34.20372468835332,-118.5403630779496
16,Woodland Hills-Warner Center,http://www.whcouncil.org/index.php,http://empowerla.org/WHWCNC,2002-03-06T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.6047401004168 34.16793158684649),34.16793028447814,-118.60474173697037
17,Tarzana,http://www.tarzananc.org/,http://empowerla.org/TNC,2003-01-14T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.547271964322 34.15820599976927),34.15820836056069,-118.54727098264158
18,Encino,http://www.encinonc.org/,http://empowerla.org/ENC,2002-10-08T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.5002611460801 34.15718424589804),34.15718612859007,-118.50026033438807
19,Lake Balboa,http://lakebalboanc.org/,http://empowerla.org/LBNC,2004-09-09T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.4925310874109 34.19350631568923),34.19350847438449,-118.49253196835518
20,Van Nuys,http://www.vnnc.org/,http://empowerla.org/VNNC,2002-07-23T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.4543526301334 34.19398861808281),34.193988730309954,-118.45435280171067
21,Greater Valley Glen Council,http://greatervalleyglencouncil.org/,http://empowerla.org/GVGC,2002-08-27T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.419173599076 34.18311299496968),34.183112611443846,-118.41917397291535
22,Noho West,http://nohowest.org/,http://empowerla.org/NOHOWESTNC,2011-01-11T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.4142928679584 34.20658783798434),34.206588293842046,-118.414293088879
23,North Hollywood Northeast,http://www.nhnenc.org/,http://empowerla.org/NHNENC,2002-09-24T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.3880835839249 34.20156929755794),34.20156938483221,-118.3880845267536
24,Noho,http://www.midtownnoho.org/,http://empowerla.org/NOHONC,2002-09-24T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.3749489231254 34.17363478570709),34.17363469244458,-118.37494933270243
25,Valley Village,http://www.myvalleyvillage.com/,http://empowerla.org/NCVV,2002-09-10T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.3964241610559 34.16344565445753),34.163445349773355,-118.39642434575335
26,Sherman Oaks,http://www.shermanoaksnc.org/,http://empowerla.org/SONC,2002-10-29T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.4432763381525 34.15134324143518),34.151343701233486,-118.44327598830567
27,Studio City,http://studiocitync.org/,http://empowerla.org/SCNC,2002-10-29T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.3924210593786 34.13955460689075),34.13955455438596,-118.39242161822783
28,Greater Toluca Lake,http://www.gtlnc.org/,http://empowerla.org/GTLNC,2002-09-10T00:00:00+00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.3597228111966 34.15269509835584),34.152695249775356,-118.35972319086319
29,Hollywood Hills West,http://www.hhwnc.org/,http://empowerla.org/HHWNC,2002-05-07T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.3465610710438 34.1225896690396),34.12259131693169,-118.34655811946237
30,Hollywood United,http://www.hollywoodunitednc.org/,http://empowerla.org/HUNC,2002-10-15T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.3047087756807 34.13059429616683),34.13059548784433,-118.30470690355648
32,Central Hollywood,http://www.chnc.org/,http://empowerla.org/CHNC,2002-04-09T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.333468950688 34.0938076806189),34.09380762365909,-118.33346906325306
33,Hollywood Studio District,http://hsdnc.org/,http://empowerla.org/HSDNC,2005-11-01T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.315109763408 34.09164950136728),34.09164956832047,-118.31510992314719
34,East Hollywood,http://easthollywood.net/,http://empowerla.org/EHNC,2007-04-19T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.2955090451762 34.09170104170531),34.09170120160699,-118.29550942673681
36,Los Feliz,http://www.losfeliznc.org/,http://empowerla.org/LFNC,2002-06-11T00:00:00+00:00,7,REGION 7 - EAST,POINT (-118.295295897651 34.12815996367119),34.128162294809975,-118.29529755054345
37,Atwater Village,http://www.atwatervillage.org/,http://empowerla.org/AVNC,2003-02-11T00:00:00+00:00,7,REGION 7 - EAST,POINT (-118.2903877017406 34.13356856196121),34.13356890406733,-118.29039012093358
38,Silver Lake,http://silverlakenc.org/,http://empowerla.org/SLNC,2003-02-11T00:00:00+00:00,7,REGION 7 - EAST,POINT (-118.2692856117571 34.09308193978991),34.0930826675298,-118.26928466429705
39,Glassell Park,http://glassellparknc.org/,http://empowerla.org/GPNC,2002-01-08T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2356349701964 34.11699825554991),34.116998626786845,-118.2356349382683
40,Eagle Rock,http://www.eaglerockcouncil.org/,http://empowerla.org/ERNC,2002-04-02T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.20770005741 34.13658144768274),34.13658140792029,-118.20769953775648
41,Historic Highland Park,http://highlandparknc.com/,http://empowerla.org/HHPNC,2002-05-28T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.1936053339742 34.11470382532914),34.114704505044365,-118.19360503631422
42,Arroyo Seco,http://www.asnc.us/,http://empowerla.org/ASNC,2002-10-02T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2063617774159 34.09891700327653),34.09891717268932,-118.20636266935568
43,Elysian Valley Riverside,NULL,http://empowerla.org/EVRNC,2002-07-09T00:00:00+00:00,7,REGION 7 - EAST,POINT (-118.2416816884686 34.09747417004714),34.09747450813332,-118.24168285452393
44,Echo Park,http://gepenc.org/,http://empowerla.org/GEPENC,2002-04-16T00:00:00+00:00,7,REGION 7 - EAST,POINT (-118.2513718509495 34.07865606519843),34.07865637240049,-118.25137115488218
46,Historic Cultural,http://www.hcncla.org/,http://empowerla.org/HCNC,2002-04-27T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2349213729195 34.04479519657149),34.04479551603888,-118.23492157558812
47,Lincoln Heights,http://www.lincolnheightsnc.org/,http://empowerla.org/LHNC,2002-04-27T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2112236433546 34.07103409169609),34.07103456716509,-118.21122350953208
48,La-32,http://www.la32nc.org/,http://empowerla.org/LA32,2002-05-21T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.1790619339777 34.08149307028069),34.08149383050498,-118.1790620802442
50,Boyle Heights,http://bhnc.net/,http://empowerla.org/BHNC,2002-05-21T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2096783307468 34.03587677668907),34.03587807882904,-118.20967883728788
52,Downtown Los Angeles,http://dlanc.com/,http://empowerla.org/DLANC,2002-04-27T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2491611463993 34.037480903332),34.037481869106166,-118.24916290465342
53,Rampart Village,http://www.rvnc.org/,http://empowerla.org/RVNC,2007-03-05T00:00:00+00:00,7,REGION 7 - EAST,POINT (-118.2847535808895 34.07089645549222),34.070896590632664,-118.28475355251305
54,Macarthur Park,http://macarthurparknc.org/,http://empowerla.org/MPNC,2003-06-03T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2826612870027 34.05813606520672),34.05813609416284,-118.28266110409378
55,Wilshire Center - Koreatown,http://wcknc.org/,http://empowerla.org/WCKNC,2003-08-05T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.3006197627366 34.06687607024433),34.06687679336821,-118.30061980522295
58,Mid City West,http://www.midcitywest.org/,http://empowerla.org/MCWCC,2002-06-25T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.3611031757324 34.07272203039263),34.07272244090281,-118.36110340305554
60,P.I.C.O.,http://piconc.com/,http://empowerla.org/PICO,2002-03-12T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.3630955228775 34.04959450049888),34.04959435314483,-118.36309528828491
61,South Robertson,http://www.soronc.org/,http://empowerla.org/SORONC,2002-08-13T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.3900423729953 34.04493298826932),34.0449335372198,-118.39004231944034
62,Westside,http://www.wncla.org/,http://empowerla.org/WNC,2002-06-04T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4208466573977 34.04332326321207),34.04332334212334,-118.42084661024727
63,Westwood,http://www.wwnc.org/,http://empowerla.org/WWNC,2010-01-19T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4361050254442 34.06491772567214),34.06491780445867,-118.43610452638542
64,Bel Air-Beverly Crest,http://babcnc.org/,http://empowerla.org/BABCNC,2002-10-08T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4333537527944 34.1061462993524),34.10614499745108,-118.43335247137716
66,West Los Angeles,http://www.wlanc.com/,http://empowerla.org/WLANC,2003-10-07T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4528815024523 34.03861672237048),34.03861671499402,-118.45288188447212
67,Mar Vista,http://marvistacc.org/,http://empowerla.org/MVCC,2002-08-13T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.433668397401 34.01412505187899),34.014125673825355,-118.43366789420901
68,Venice,http://www.venicenc.org/,http://empowerla.org/VNC,2002-03-12T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4614397133762 33.99113487057522),33.99113543619591,-118.46143952909392
70,Del Rey,http://delreync.org/,http://empowerla.org/DRNC,2003-10-28T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4216129634659 33.98825446500633),33.988254309359185,-118.42161242672934
71,Westchester/Playa,http://www.ncwpdr.org/,http://empowerla.org/NCWP,2002-03-12T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4089644409328 33.95375636198568),33.95375635830961,-118.40896462760186
73,Mid City,http://mincla.org/,http://empowerla.org/MINC,2002-02-19T00:00:00+00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.3492848408125 34.0402041024397),34.040203460391105,-118.3492840500109
74,"United Neighborhoods Of The Historic Arlington Heights, West Adams, And Jefferson Park Community",http://www.unnc.org/index.html,http://empowerla.org/UNNC,2002-05-14T00:00:00+00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.3195567349043 34.03454680264939),34.03454710145074,-118.31955605765957
75,West Adams,http://www.westadamsnc.org/,http://empowerla.org/WANC,2002-02-19T00:00:00+00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.3538661572682 34.0272892686998),34.027288689807875,-118.3538663441357
76,Pico Union,http://www.picounionnc.org/,http://empowerla.org/PUNC,2003-06-03T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2869795746984 34.04468108170078),34.04468097842951,-118.28697964050663
77,Empowerment Congress North Area,http://www.nandc.org/,http://empowerla.org/ECNANDC,2002-04-27T00:00:00+00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.2956705516702 34.02379521009237),34.02379526447067,-118.29566997782744
78,South Central,https://www.southcentralnc.org/,https://empowerla.org/southcentralnc/,2003-06-24T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2605240033643 34.01854814027887),34.0185479705368,-118.26052441990701
79,Empowerment Congress West Area,http://www.ecwandc.org/,http://empowerla.org/ECWANDC,2002-03-23T00:00:00+00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.345473935153 34.01277434639444),34.012773582389634,-118.34547437158399
80,Park Mesa Heights,http://www.pmhcc90043.org/Home.html,http://empowerla.org/PMHCC,2002-03-23T00:00:00+00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.3299998082205 33.9859378996297),33.985938391814486,-118.3299997795094
81,Empowerment Congress Central Area,https://www.eccandc.org/,https://empowerla.org/eccandc/,2002-03-23T00:00:00+00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.3076880793338 33.99140155697961),33.991402410983774,-118.30768845494866
84,Empowerment Congress Southwest Area,http://southwestnc.org/,http://empowerla.org/ECSWANDC,2002-03-23T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.3066710552615 33.96040717806213),33.96040774193144,-118.30667061920246
86,Community And Neighbors For Ninth District Unity (Canndu),http://www.canndunc.org/,http://empowerla.org/CANNDU,2003-03-11T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2686167945473 33.97593988227742),33.975940104504986,-118.26861675443647
87,Empowerment Congress Southeast Area,NULL,https://empowerla.org/ecseandc/,2002-03-23T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2734943617289 33.94931200928338),33.94931224060615,-118.27349474921358
88,Watts,http://thewattsnc.com/,http://empowerla.org/WATTS,2002-12-03T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.241686828111 33.94020745232655),33.94020773105462,-118.24168679748142
90,Harbor Gateway North,http://www.harborgatewaynorth.org/,http://empowerla.org/HGNNC,2002-11-12T00:00:00+00:00,12,REGION 12 - HARBOR,POINT (-118.2817879281547 33.91110916301349),33.91111284239356,-118.28178584963165
91,Harbor Gateway South,http://www.harborgatewaysouth.org/,http://empowerla.org/HGSNC,2003-04-08T00:00:00+00:00,12,REGION 12 - HARBOR,POINT (-118.2990304091104 33.84808368295602),33.84808633445204,-118.29902890776384
92,Harbor City,http://www.harborcitync.com/index.html,http://empowerla.org/HARBORCITYNC,2002-03-26T00:00:00+00:00,12,REGION 12 - HARBOR,POINT (-118.2977682128359 33.79319031621791),33.79319113362625,-118.29776904814777
93,Wilmington,http://www.wilmingtonneighborhoodcouncil.com/,http://empowerla.org/WILMINGTON,2001-12-11T00:00:00+00:00,12,REGION 12 - HARBOR,POINT (-118.2586639299143 33.76272597043021),33.76273350020868,-118.25866446517506
94,Northwest San Pedro,http://www.nwsanpedro.org/,http://empowerla.org/NWSPNC,2002-02-12T00:00:00+00:00,12,REGION 12 - HARBOR,POINT (-118.3032633112984 33.7545169405252),33.75451916253237,-118.30326201183956
95,Central San Pedro,http://centralsanpedro.org/,http://empowerla.org/CENTRALSPNC,2002-02-12T00:00:00+00:00,12,REGION 12 - HARBOR,POINT (-118.2864597963644 33.74198160015063),33.74198205385057,-118.28645939603445
96,Coastal San Pedro,http://www.cspnc.org/,http://empowerla.org/CSPNC,2001-12-11T00:00:00+00:00,12,REGION 12 - HARBOR,POINT (-118.294425366976 33.71901137927388),33.719010603501516,-118.29442671254341
97,Westlake North,https://www.westlakenorthnc.org,https://empowerla.org/wnnc/,2011-06-07T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2666630743031 34.06112220150332),34.0611220807435,-118.2666633096216
99,Chatsworth,http://chatsworthcouncil.org/,http://empowerla.org/CNC,2003-04-29T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5978152375688 34.25465656237318),34.25465618032482,-118.59781602390406
100,Panorama City,http://www.panoramacitync.org/,http://empowerla.org/PCNC,2007-03-15T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4455343675552 34.22428530371532),34.224285292141595,-118.44553512707624
101,Mission Hills,http://mhnconline.org/,http://empowerla.org/MHNC,2005-04-19T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4579492767789 34.26734552462137),34.26734608788999,-118.45794918413259
102,Greater Cypress Park,https://www.cypressparknc.com/,https://empowerla.org/gcpnc/,2002-11-19T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2269046283973 34.0941461912569),34.09414646293024,-118.22690511309757
104,Olympic Park,http://opnc.org/,http://empowerla.org/OPNC,2003-12-02T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.3259595406683 34.0512679910091),34.051267305247144,-118.32595967374247
109,Voices Of 90037,https://www.voicesnc.org,https://empowerla.org/voicesof90037/,2008-06-16T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2903836670799 33.99671603978786),33.99671668244425,-118.29038370210378
110,Central Alameda,https://centralalameda.com/,https://empowerla.org/canc/,2003-09-30T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2476515813338 33.99884334229447),33.99884358845269,-118.2476516724087
111,North Hills West,http://www.nhwnc.net/,http://empowerla.org/NHWNC,2003-02-25T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4841388291104 34.23390595713263),34.233906361800244,-118.48413844048058
112,North Hills East,http://www.northhillseastnc.org/,http://empowerla.org/NHENC,2010-09-14T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.4652299922935 34.23553504840533),34.235535802499264,-118.46522962650054
113,Northridge West,http://www.northridgewest.org/,http://empowerla.org/NWNC,2004-10-26T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5494199097754 34.25433177086347),34.25433293016658,-118.54941978326998
114,Porter Ranch,http://www.prnc.org/,http://empowerla.org/PRNC,2003-07-01T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5619865593671 34.28587162196351),34.28587100607995,-118.56198693706406
115,Palms,http://palmsla.org/,http://empowerla.org/PALMSNC,2004-12-14T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.4070097325914 34.02339353489571),34.023393516790655,-118.40700949401662
118,Granada Hills South,http://ghsnc.org/,http://empowerla.org/GHSNC,2006-01-17T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.500976780955 34.26400619816189),34.26400576475628,-118.50097799329838
119,Greater Wilshire,http://www.greaterwilshire.org/,http://empowerla.org/GWNC,2003-12-02T00:00:00+00:00,5,REGION 5 - CENTRAL 1,POINT (-118.3271467225985 34.07004259993276),34.07004304640203,-118.3271470559165
120,Northridge East,http://nenc-la.org/,http://empowerla.org/NENC,2004-11-30T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5171688092762 34.24944225007446),34.24944242061428,-118.5171700400779
121,Westlake South,https://www.wsncla.org,https://empowerla.org/wsnc/,2011-06-07T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2724522894099 34.05404703453587),34.054047073975916,-118.27245242777947
124,Northridge South,http://www.northridgesouth.org/,http://empowerla.org/NSNC,2010-05-04T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5290736433664 34.22693185588766),34.22693028581998,-118.52907468287023
125,Zapata King,http://www.zapatakingnc.org/,http://empowerla.org/ZKNC,2015-02-03T00:00:00+00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2686750864993 34.00021586053471),34.00021592493771,-118.26867509960454
126,Hermon,https:/www./hermonnc.org/,http://empowerla.org/hnc/,2017-05-25T00:00:00+00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.1894975404668 34.10012642819238),34.10012673698625,-118.18949687287943
127,North Westwood,https://empowerla.org/nwwnc/,https://empowerla.org/nwwnc/,2010-01-19T00:00:00+00:00,11,REGION 11 - WEST LA,POINT (-118.446029264445 34.06716731119519),34.067167623019145,-118.44602933895396
128,Historic Cultural North,http://empowerla.org/HCNNC,http://empowerla.org/HCNNC,2018-10-29T00:00:00+00:00,6,REGION 6 - CENTRAL 2,POINT (-118.236006369131 34.06441209782696),34.064412317059066,-118.23600633896145
